time [s],motion,velocity,linear_damping,quadratic_damping,total_damping,abs_linear_damping,abs_quadratic_damping
0.0,1.7458439,-6.23056,934.584,54347.83,55282.414,934.584,54347.83
0.04479291372524585,1.466759,-6.197294,929.5941,53769.04,54698.633,929.5941,53769.04
0.0895858274506054,1.1906542,-6.121345,918.2018,52459.21,53377.414,918.2018,52459.21
0.13445029535114372,0.91794133,-6.0409527,906.1429,51090.355,51996.5,906.1429,51090.355
0.1792432090762759,0.6490328,-5.9563074,893.4461,49668.637,50562.082,893.4461,49668.637
0.22403612280163543,0.38434058,-5.852992,877.9488,47960.52,48838.47,877.9488,47960.52
0.26890059070217376,0.124276906,-5.744974,861.7461,46206.62,47068.367,861.7461,46206.62
0.3136935044274196,-0.13074613,-5.6325126,844.8769,44415.277,45260.152,844.8769,44415.277
0.35848641815277915,-0.38031638,-5.501896,825.28436,42379.203,43204.49,825.28436,42379.203
0.4033508860533175,-0.6240217,-5.366253,804.9379,40315.336,41120.273,804.9379,40315.336
0.44814379977856333,-0.86144996,-5.2259088,783.8863,38234.17,39018.06,783.8863,38234.17
0.4929367135038092,-1.0921891,-5.068057,760.20856,35959.28,36719.49,760.20856,35959.28
0.5378011814044612,-1.3158268,-4.904788,735.7182,33679.723,34415.44,735.7182,33679.723
0.5825940951295934,-1.531951,-4.736495,710.47424,31408.14,32118.615,710.47424,31408.14
0.6273870088549529,-1.7401496,-4.551476,682.7214,29002.307,29685.027,682.7214,29002.307
0.6722514767554912,-1.9400105,-4.3548417,653.22626,26550.504,27203.73,653.22626,26550.504
0.7170443904807371,-2.1306076,-4.1460366,621.9055,24065.467,24687.373,621.9055,24065.467
0.7618373042060966,-2.3114367,-3.9209108,588.1366,21522.959,22111.096,588.1366,21522.959
0.806701772106635,-2.4821296,-3.6908753,553.6313,19071.586,19625.217,553.6313,19071.586
0.8514946858318808,-2.6423671,-3.4575658,518.6349,16736.666,17255.3,518.6349,16736.666
0.8962875995571267,-2.7918785,-3.2132664,481.98996,14455.112,14937.103,481.98996,14455.112
0.9411520674577787,-2.9304423,-2.966728,445.0092,12322.064,12767.073,445.0092,12322.064
0.9859449811829109,-3.057885,-2.7195888,407.93832,10354.628,10762.566,407.93832,10354.628
1.0307378949082704,-3.174079,-2.4657764,369.86646,8512.074,8881.94,369.86646,8512.074
1.0756023628088087,-3.2789416,-2.2121398,331.82098,6850.988,7182.8086,331.82098,6850.988
1.1203952765340546,-3.3724315,-1.958826,293.82388,5371.799,5665.6226,293.82388,5371.799
1.165259744434593,-3.4545465,-1.7050349,255.75523,4070.0015,4325.757,255.75523,4070.0015
1.2100526581599524,-3.5253184,-1.4540884,218.11327,2960.1226,3178.2358,218.11327,2960.1226
1.254845571885312,-3.5848122,-1.2025638,180.38457,2024.6234,2205.008,180.38457,2024.6234
1.2997100397858503,-3.633119,-0.95392114,143.08817,1273.9518,1417.0399,143.08817,1273.9518
1.3445029535110962,-3.6703558,-0.7092611,106.38917,704.27185,810.661,106.38917,704.27185
1.389295867236342,-3.6966588,-0.4667072,70.00608,304.94186,374.94794,70.00608,304.94186
1.4341603351367667,-3.7121823,-0.22773299,34.159946,72.60724,106.76718,34.159946,72.60724
1.4789532488621262,-3.7170937,0.0068077142,-1.0211571,-0.064882964,-1.0860401,1.0211571,0.064882964
1.5237461625874857,-3.7115724,0.23725687,-35.58853,-78.80715,-114.39568,35.58853,78.80715
1.568610630488024,-3.6958055,0.46399513,-69.599266,-301.40808,-371.00735,69.599266,301.40808
1.61340354421327,-3.669988,0.68634427,-102.95164,-659.49585,-762.4475,102.95164,659.49585
1.6581964579386295,-3.6343188,0.9031181,-135.46771,-1141.8712,-1277.3389,135.46771,1141.8712
1.7030609258391678,-3.5890014,1.1163819,-167.45728,-1744.832,-1912.2893,167.45728,1744.832
1.7478538395643,-3.5342422,1.3255535,-198.83302,-2459.929,-2658.762,198.83302,2459.929
1.7926467532896595,-3.4702506,1.5279162,-229.18742,-3268.339,-3497.5266,229.18742,3268.339
1.8375112211901978,-3.397239,1.7270449,-259.05673,-4175.7583,-4434.815,259.05673,4175.7583
