Hs,Tp,Direction,damp_config,heave_std,pitch_std,roll_std,heave_max,pitch_max,roll_max
1.0,3.58,0,low,0.02908944184120985,0.7158959061648589,2.934579650110844e-05,0.10948962069606338,2.8589632180115587,0.0001479995980250891
1.0,3.58,45,low,0.02475718053805407,0.30449320556646053,0.424653260622461,0.0900200982353202,1.3655487566956395,1.7867201253767238
1.0,3.58,90,low,0.018733660499615508,0.21292514941320953,0.30759040629506745,0.06476037066126317,0.8431245530224889,1.3339658547948576
1.0,3.58,135,low,0.024891629008108165,0.2619281358906478,0.16099106625492843,0.09757791917246805,1.0923256554499614,0.6987819709290786
1.0,3.58,180,low,0.03330685464427327,0.7252383457026041,2.6682525300843937e-05,0.12291653962654092,3.06414213514341,0.00015309963527602825
1.0,4.08,0,low,0.05393055766367531,0.8248709094793096,5.378363294367321e-05,0.19263193767600595,3.7180264884436736,0.0005331155686053332
1.0,4.08,45,low,0.05678686870128274,0.35725324125455493,0.5324866009850956,0.194017832406693,1.7430209656303446,2.537950270802538
1.0,4.08,90,low,0.049742285370661936,0.3224899282276555,0.33520212454798537,0.15760351700694475,1.4297800403324226,1.2887798269234239
1.0,4.08,135,low,0.05283795890355682,0.2849935495907779,0.17788603765137112,0.195376887285599,1.1961484554575703,0.7377779951468816
1.0,4.08,180,low,0.06487896615446208,0.858854181416366,5.1405895578602455e-05,0.23539001990413222,3.842547597673876,0.00020966633042141013
1.0,4.58,0,low,0.0925486109749254,0.9066709160833453,8.430916275563007e-05,0.3313605076825177,3.2697038199746737,0.00033476477898661673
1.0,4.58,45,low,0.10129361107271855,0.40211949976268274,0.6312545650752274,0.3464079225510359,1.3831235053623208,2.4944565348053724
1.0,4.58,90,low,0.09379696703032604,0.4232663507742253,0.37705806171022016,0.2963239370126415,1.5735241515527836,1.44904130606583
1.0,4.58,135,low,0.09625887881761368,0.295185510648538,0.20542241635329844,0.3498566142282,1.2151295160387017,0.8374196091565607
1.0,4.58,180,low,0.1097416374254973,0.9795295659462563,9.281351042653088e-05,0.38757848150034746,3.7916334621136056,0.00038057212133385315
2.0,3.58,0,low,0.0544183005193258,1.4265584396289195,7.40665550806884e-05,0.22449475906734118,5.583924554158642,0.0005504877767499418
2.0,3.58,45,low,0.047251300055481296,0.6122598611058052,0.8470488196401351,0.17576277746922442,2.715340008361796,3.700361171007253
2.0,3.58,90,low,0.034114562300600795,0.42749124415781176,0.6178427407381945,0.12650487523387977,1.7628231635857778,2.8255125417696494
2.0,3.58,135,low,0.04936450663350371,0.5160358648688013,0.32798380291206414,0.1852127740261731,2.2269755327850764,1.4023169993037385
2.0,3.58,180,low,0.06609925673662506,1.4553036367107202,7.110511258588605e-05,0.2560250033807975,6.188969730805479,0.0004949555328560209
2.0,4.08,0,low,0.09537516057275226,1.6349390505573915,9.741133006932812e-05,0.3232665740003189,7.187823180473721,0.0005251413028384624
2.0,4.08,45,low,0.09992988938488039,0.7218564068409634,1.0718216682021635,0.3265244437301601,3.6497937331807706,4.908381486677889
2.0,4.08,90,low,0.08534501905104055,0.6394221514272442,0.6774162821779377,0.27172604460683136,2.980472779119854,2.5402295410461373
2.0,4.08,135,low,0.09741880902058353,0.5676727232864758,0.36824875901729665,0.3469042443412321,2.548680277787369,1.576756558780393
2.0,4.08,180,low,0.1193647722249048,1.7349446766806795,0.00010138265535420226,0.4084131876042596,7.982135855902922,0.00046659417267272104
2.0,4.58,0,low,0.1537318790894166,1.7837035290882914,0.00013980723351496183,0.5053804761527313,6.161988472776178,0.0016010145757425196
2.0,4.58,45,low,0.16807718017020054,0.8263098444212218,1.3069460218768632,0.5340616625478423,2.9372003541444696,5.152434388854752
2.0,4.58,90,low,0.15093243080292906,0.8536542697859546,0.7731182246682062,0.4679382763455312,3.0564394231777463,3.1020713885265137
2.0,4.58,135,low,0.16349843736681816,0.6073469206356851,0.43688767359216824,0.5602815183632903,2.389828800534499,1.9138514796160762
2.0,4.58,180,low,0.18750196795694193,2.017589625340374,0.00016030656367376463,0.6086808569784518,7.5823729257671015,0.0007342690283733302
1.0,3.58,0,linhigh,0.027685778127935656,0.7119321059336532,2.676552574727286e-05,0.10664705712651767,2.83328655158064,0.0001438637239378328
1.0,3.58,45,linhigh,0.02307151277271255,0.3026888573190436,0.42223243004809,0.0843625750729331,1.3567705170273596,1.7695790495097061
1.0,3.58,90,linhigh,0.01681447266343636,0.21083109534376224,0.306172656357604,0.06094403203162879,0.8361650872528636,1.32730872656504
1.0,3.58,135,linhigh,0.023404120585996183,0.2607796980221922,0.16022461367849447,0.09173871660839628,1.0898350046673038,0.689166468226688
1.0,3.58,180,linhigh,0.031432728857214175,0.7214869598565846,2.4503141520150873e-05,0.11783215256807977,3.0442152498626105,0.00014804963314851423
1.0,4.08,0,linhigh,0.048620782734348306,0.8187376770242532,4.520893262282707e-05,0.17649377976413128,3.702891318407693,0.00019788475692996636
1.0,4.08,45,linhigh,0.04994619792934632,0.35430997741986225,0.527864124999461,0.17268794254737874,1.7372008712392843,2.504858527682243
1.0,4.08,90,linhigh,0.04311484089142885,0.31913727215564647,0.3325699835704965,0.1389153285302498,1.4312489629141647,1.2825622969406734
