Hs,Tp,Direction,damp_config,heave_std,heave_max,pitch_std,pitch_max,roll_std,roll_max
2.0,6.59,0,low,0.33854343821432364,2.029305861842735,0.05644728243350983,7.503252074005834,-0.9314861655468935,0.29418398594997525
2.0,6.59,45,low,0.37285573586143445,-0.8885698110634692,0.27728042006492615,-3.093925856740859,-0.933005795185801,0.2965811510578639
2.0,6.59,90,low,0.3515599645817606,-0.07850142501814483,0.17101852595806122,-0.7975684464583823,-0.9339618072068816,0.2806433125906629
2.0,6.59,135,low,0.36611825348536287,-0.13026807683615138,0.2655477523803711,0.2064501516264512,-0.9328111983502678,0.2985291106532095
2.0,6.59,180,low,0.394509374286144,3.0731572871871036,0.36743584275245667,13.47467518518748,-0.9339815460246876,0.3378899515359561
2.0,7.09,0,low,0.36951997835048705,2.011418772497395,0.17458213865756989,7.120535172313871,-0.9303867700453875,0.29276606752602685
2.0,7.09,45,low,0.40617632928964326,-0.9150962799289539,0.3892447352409363,-2.971868668725439,-0.9330309368768425,0.29287006962183665
2.0,7.09,90,low,0.3854842199599127,-0.15122525982393564,0.29227161407470703,-0.44810907465067285,-0.9333245472633339,0.27916465464740414
2.0,7.09,135,low,0.3979982641785996,-0.1937016025489271,0.34357550740242004,-0.1938373535503768,-0.9324203712627013,0.29754139330520946
2.0,7.09,180,low,0.4271416433902633,3.1198162883072036,0.43731170892715454,12.40790965466425,-0.9334173451697525,0.34125856129110066
2.0,7.59,0,low,0.3926095507276905,1.9628845337241654,0.21664109826087952,7.732358145286504,-0.9296384203837524,0.2904229259945185
2.0,7.59,45,low,0.4297875936153399,-0.9113348879641228,0.37942349910736084,-3.079314801445731,-0.9317840330933164,0.287962975465262
2.0,7.59,90,low,0.4104680746564088,-0.21551708782829349,0.2653837203979492,-1.403020747037231,-0.9326430160396582,0.2798251844691217
2.0,7.59,135,low,0.4210290577886284,-0.24495388852538613,0.3561016023159027,-0.26127821452825906,-0.9321166715562954,0.29730187651760726
2.0,7.59,180,low,0.4494027041592859,3.07698820767076,0.4453032314777374,13.3947420080608,-0.9329548355230687,0.3440150203733857
4.0,6.59,0,low,0.521279191172573,3.603195587914486,0.5885300636291504,12.947553953507931,-0.8915298776498551,0.10850254543723431
4.0,6.59,45,low,0.5808017626948776,-1.6648618101686234,0.9873098731040955,-7.018389909950574,-0.8897344803099152,-0.010782408748718914
4.0,6.59,90,low,0.5480846323847449,-0.8162027844467112,0.7865325808525085,-5.874570573047098,-0.9089672665799502,0.09233155224949337
4.0,6.59,135,low,0.5782501053271054,-0.13762191258162693,0.8945306539535522,-0.01837491641462563,-0.91285880281971,0.2771745585002966
4.0,6.59,180,low,0.610176022704066,6.145304493491056,0.9239673614501953,24.396721059225637,-0.9260975865315235,0.5909307029917453
4.0,7.09,0,low,0.579788499531761,3.59083910828502,0.7935018539428711,13.101414464404588,-0.8889184533923532,0.10487173853010666
4.0,7.09,45,low,0.6456794054359751,-1.7210306737657786,1.1471445560455322,-8.343156325893323,-0.8859904155311376,-0.05009254919478298
4.0,7.09,90,low,0.6121716359973833,-0.9776610196373725,0.9440076947212219,-5.570208805894866,-0.9064149881028835,0.08117267043743162
4.0,7.09,135,low,0.6384974146737814,-0.24702683813121817,1.0729129314422607,-0.09230488399084535,-0.9095494786396614,0.2646847320329371
4.0,7.09,180,low,0.6712560123738281,6.2328235108355,1.145470380783081,23.30493521399044,-0.9189517942834321,0.5975841517564002
4.0,7.59,0,low,0.6290684999083391,3.535684311014937,0.9049860835075378,14.152181751112296,-0.8887744190735055,0.09882310338194805
4.0,7.59,45,low,0.6981758332066619,-1.717147710455154,1.1503759622573853,-6.354085711275136,-0.8840262498044432,-0.0674543049706068
4.0,7.59,90,low,0.6648450899431494,-1.0794805492744266,0.999293327331543,-7.333021720293566,-0.9056207815252839,0.07819102494649784
4.0,7.59,135,low,0.6864517726142262,-0.3324582650782113,1.0579190254211426,-0.13781784952522358,-0.9083431534349332,0.26061591560259023
4.0,7.59,180,low,0.7222132063081492,6.180526707931766,1.1507768630981445,24.736780165934146,-0.917131516333892,0.5878817803040304
2.0,6.59,0,linhigh,0.3214461991266689,1.9499915600514268,0.020093733444809914,7.232546902546306,-0.9327050226739634,0.2953941444998719
2.0,6.59,45,linhigh,0.3551454334858855,-0.8281163987540925,0.23437455296516418,-2.9349352745622417,-0.9341742669189175,0.30299338514744506
2.0,6.59,90,linhigh,0.33518897845251927,-0.0558917658158915,0.13343092799186707,-0.6997144606537251,-0.9347092994444236,0.2864788503954598
2.0,6.59,135,linhigh,0.34709533703291906,-0.10053690981187446,0.220057874917984,0.27745338314331924,-0.9335084051179802,0.2983607003714442
2.0,6.59,180,linhigh,0.3749881516929486,2.884457518442421,0.31957632303237915,12.832823059631133,-0.9346973453789235,0.33105053478237473
2.0,7.09,0,linhigh,0.3529814953526066,1.9244141338857157,0.13620606064796448,6.92135586544813,-0.9316031439050528,0.29432242129945985
2.0,7.09,45,linhigh,0.3889794980743609,-0.8488685014734922,0.3494546115398407,-2.681088305850955,-0.9341340707445834,0.29940746428264897
2.0,7.09,90,linhigh,0.3694957193048666,-0.12594025831340527,0.251348614692688,-0.38034634100815357,-0.9340498772190635,0.28478275079939747
2.0,7.09,135,linhigh,0.3795668742352515,-0.15701548476942417,0.3056473135948181,-0.2310614576401231,-0.9331115763884908,0.2974813701289469
2.0,7.09,180,linhigh,0.4079581138964462,2.9207514495311337,0.39739707112312317,11.709019744721177,-0.9341252454140838,0.33438533908932533
2.0,7.59,0,linhigh,0.3770270892873702,1.8721074486952012,0.1790129691362381,7.351889409593781,-0.930789700015385,0.29203973740949846
2.0,7.59,45,linhigh,0.41350114841894503,-0.8438625432339713,0.3301202356815338,-2.7722090057944495,-0.9330366924120287,0.29489336137824407
2.0,7.59,90,linhigh,0.39524393425374127,-0.18913259196263432,0.22675253450870514,-1.2005658291884131,-0.933319038053909,0.2856614821089479
2.0,7.59,135,linhigh,0.40378356505927754,-0.20319250515875864,0.3098001182079315,-0.20453385667744017,-0.9328081634435147,0.29733782653294927
2.0,7.59,180,linhigh,0.4313083785016255,2.879326297915855,0.3974037170410156,12.475086128770224,-0.933629332025398,0.3370983033954432
4.0,6.59,0,linhigh,0.5008070141165574,3.4784606858327867,0.5537241697311401,12.48458607157134,-0.893953408191789,0.11938726493675492
4.0,6.59,45,linhigh,0.5606542471479854,-1.5715312038190583,0.9312241077423096,-6.540136649171696,-0.8929670121930672,0.035077796736718986
4.0,6.59,90,linhigh,0.5289828819045458,-0.6799449319134481,0.7405275702476501,-5.07206859557385,-0.9115835691074751,0.12171029954880816
4.0,6.59,135,linhigh,0.5561115904416235,-0.10205672926690013,0.8387155532836914,0.12606992415280338,-0.9158157228965352,0.2773694819357391
4.0,6.59,180,linhigh,0.5891131673946004,5.847553692415555,0.8679864406585693,23.548938267630636,-0.928887971421682,0.559071968593005
4.0,7.09,0,linhigh,0.5591603177384206,3.4538112506453045,0.7517115473747253,12.403085554773316,-0.891113211648663,0.11599002227077918
4.0,7.09,45,linhigh,0.6255088649262369,-1.6166306857877326,1.0852398872375488,-7.868439395557219,-0.8893265205613649,-0.00012428083920505706
4.0,7.09,90,linhigh,0.592979670509834,-0.8354340200470092,0.8843844532966614,-5.063780161016039,-0.9089354669503666,0.11283718299745545
4.0,7.09,135,linhigh,0.6165003497263585,-0.20219670435940218,1.0182044506072998,-0.07319230714585778,-0.9127201770278737,0.2679634060685606
4.0,7.09,180,linhigh,0.6506812816558608,5.911598017626503,1.084815502166748,22.480084594873496,-0.9223359890380727,0.5652311055179737
4.0,7.59,0,linhigh,0.6088446079655122,3.3929325348248542,0.8606847524642944,13.505354437002335,-0.8907248727785213,0.11083166218504556
4.0,7.59,45,linhigh,0.6783951492639846,-1.611761722177719,1.096948504447937,-5.845552514358296,-0.8873387588060949,-0.017727017412376464
4.0,7.59,90,linhigh,0.6459096650091813,-0.9415585870087071,0.957874596118927,-6.691677202513125,-0.9080762960718269,0.11000178743331851
4.0,7.59,135,linhigh,0.6650258398411002,-0.2836867901846458,1.0034700632095337,0.034584662862359394,-0.9113207643923676,0.264343008410876
4.0,7.59,180,linhigh,0.701936621183055,5.857901376595387,1.0910698175430298,23.86837980128352,-0.9207965584670558,0.5570188975378073
2.0,6.59,0,quadhigh,0.33435844384901986,1.9957501181247306,0.04287809878587723,7.3606218297409045,-0.9319131674885187,0.29497310016687334
2.0,6.59,45,quadhigh,0.36807771138458545,-0.8614569346733849,0.25617820024490356,-2.9363269256056315,-0.9335044343729342,0.2986746034876813
2.0,6.59,90,quadhigh,0.3473564413068647,-0.0777282062831679,0.15411823987960815,-0.7948295406012065,-0.9342395395817075,0.2823258843502605
2.0,6.59,135,quadhigh,0.3608340801095051,-0.12853115391881864,0.2438882291316986,0.21117194677704543,-0.9330213765924308,0.2984374362766221
2.0,6.59,180,quadhigh,0.38910595947837545,2.965529826231672,0.3426606357097626,12.903360709421007,-0.9342270017211517,0.335021573443553
2.0,7.09,0,quadhigh,0.3653253350207394,1.9765652753297547,0.15928874909877777,6.9777101987157915,-0.9307973618578582,0.2935015285696308
2.0,7.09,45,quadhigh,0.40133452336229464,-0.8859608628281948,0.3695291578769684,-2.842442987256045,-0.9335555147705834,0.2948209603584993
2.0,7.09,90,quadhigh,0.38119320174562465,-0.14998547658489514,0.27382299304008484,-0.4733321094818832,-0.9336161379060726,0.2807079077337689
2.0,7.09,135,quadhigh,0.39273087129352996,-0.19010753488911125,0.32680004835128784,-0.23124203076630545,-0.9326523586504135,0.2974784984946539
2.0,7.09,180,quadhigh,0.4215713250704622,3.0095618056367175,0.41848334670066833,11.780598582467908,-0.9336801978005006,0.33847181883192606
2.0,7.59,0,quadhigh,0.38854601982328535,1.9284796506283424,0.2011166512966156,7.5121385162423415,-0.9300542339971137,0.2912186721387902
2.0,7.59,45,quadhigh,0.42506979030559733,-0.8820873048538236,0.3554859757423401,-2.828981965062418,-0.9323840614455973,0.2901962456571931
2.0,7.59,90,quadhigh,0.40623072379145153,-0.2135498164985805,0.24811160564422607,-1.3333267774068895,-0.932921759319569,0.28159096345554235
2.0,7.59,135,quadhigh,0.4159803755611599,-0.23951233800589344,0.33378514647483826,-0.2556364782738285,-0.9323577454887196,0.2972929384803544
2.0,7.59,180,quadhigh,0.4440164801484239,2.969771931330059,0.42106544971466064,12.557649631068738,-0.9332106114838931,0.3412831571138325
4.0,6.59,0,quadhigh,0.5139592857949663,3.5085720117172117,0.571709156036377,12.409436218150022,-0.8925096229898419,0.11540638400836604
4.0,6.59,45,quadhigh,0.572858024001079,-1.5876527732488839,0.947384774684906,-6.556875735280107,-0.8916207863456743,0.012579757533890845
4.0,6.59,90,quadhigh,0.541006098169454,-0.7437598149882776,0.7577025890350342,-5.35820656424684,-0.9102508214035113,0.10498786415337544
4.0,6.59,135,quadhigh,0.5693019450576574,-0.13846568501587608,0.8597887754440308,-0.051865895236138826,-0.9142064205036045,0.27660328787719984
4.0,6.59,180,quadhigh,0.602807433443216,5.828160039849465,0.8836901783943176,22.93440144054552,-0.9282719913600573,0.5705376803698735
4.0,7.09,0,quadhigh,0.5719674704438542,3.4925024814044976,0.7712078094482422,12.481771048437704,-0.8898150558149135,0.11152832629763679
4.0,7.09,45,quadhigh,0.6371188734253798,-1.6361259443816332,1.1021034717559814,-7.982180828258148,-0.8880501185414797,-0.024590410268206353
4.0,7.09,90,quadhigh,0.6044766545131818,-0.9007285310370925,0.9041946530342102,-5.355622191419638,-0.9077194737414485,0.0950930911238789
4.0,7.09,135,quadhigh,0.6291596758985061,-0.24251851740272157,1.0372370481491089,-0.18356731035961715,-0.9111083763545833,0.26552504550859435
4.0,7.09,180,quadhigh,0.6634568029707553,5.9022852576645155,1.1112295389175415,21.97080706147261,-0.9217832438917739,0.5791499437527697
4.0,7.59,0,quadhigh,0.6209688010187507,3.438493652153211,0.8823433518409729,13.4964410806251,-0.8895723902871248,0.1060949311703624
4.0,7.59,45,quadhigh,0.6891786257373247,-1.6325517317719114,1.1092945337295532,-5.690403059814166,-0.8861052096317028,-0.04137428410314038
4.0,7.59,90,quadhigh,0.6567367862418569,-1.002338479616598,0.971735417842865,-6.693412070562307,-0.9069419840677182,0.09301717192078879
4.0,7.59,135,quadhigh,0.6770070294020902,-0.324815433460091,1.023918867111206,-0.10464618204741072,-0.9098091810034756,0.26157493040911395
4.0,7.59,180,quadhigh,0.7137849797486994,5.853357174938809,1.108367919921875,23.114775983248695,-0.9201416738663801,0.571129213270088
2.0,6.59,0,DOFbest,0.32942235204760184,1.9698429726109254,0.03522375971078873,7.286234936672767,-0.9322210517013294,0.2951633208042243
2.0,6.59,45,DOFbest,0.3633702687514648,-0.8468967364807518,0.24991805851459503,-2.9998626259255596,-0.933742479702186,0.30061655599996584
2.0,6.59,90,DOFbest,0.3429294301787788,-0.06198543974271864,0.14832600951194763,-0.7474702895568086,-0.9344045060074473,0.2841566409114428
2.0,6.59,135,DOFbest,0.3556804004968013,-0.10745893998203826,0.23641398549079895,0.25395838617212174,-0.9332072925773198,0.29834123474176855
2.0,6.59,180,DOFbest,0.3838722617802307,2.9251509994791483,0.3364883363246918,12.894928831041796,-0.9343860931153165,0.3333798267985095
2.0,7.09,0,DOFbest,0.3606466793080369,1.9468041989880416,0.15134502947330475,6.945548537540742,-0.9310975141875641,0.2938783874745214
2.0,7.09,45,DOFbest,0.39687215694633415,-0.8693228504555435,0.36350399255752563,-2.7899747547124756,-0.9337677849953473,0.2968724751118669
2.0,7.09,90,DOFbest,0.37696778046953955,-0.13231534109718246,0.26639145612716675,-0.4174334144276761,-0.9337571581328227,0.28247683082370556
2.0,7.09,135,DOFbest,0.3878155218596536,-0.16610850365148233,0.3196384012699127,-0.21469205552054138,-0.932823636486855,0.2974450964639918
2.0,7.09,180,DOFbest,0.41655870303972226,2.964809889738408,0.41217491030693054,11.77746532734931,-0.9338226879280852,0.33681063450140725
2.0,7.59,0,DOFbest,0.3842081953003571,1.8961877426081133,0.19360169768333435,7.427634042310083,-0.9303202727053124,0.2915842496839244
2.0,7.59,45,DOFbest,0.42090909104392044,-0.8646068649713754,0.3476845324039459,-2.8889211438975106,-0.9326144528296422,0.2922410534819756
2.0,7.59,90,DOFbest,0.4022742000299958,-0.1954734155320066,0.24173203110694885,-1.2740761670174985,-0.9330469515266425,0.28331292506065675
2.0,7.59,135,DOFbest,0.4114494698498955,-0.21403359854418025,0.32629337906837463,-0.22347439813270853,-0.9325216795887338,0.2972529696689548
2.0,7.59,180,DOFbest,0.4393660918353511,2.9238305182350115,0.41460874676704407,12.560576526793767,-0.9333407722485126,0.3395622200915952
4.0,6.59,0,DOFbest,0.5093313883558812,3.4932546548615835,0.5662570595741272,12.478425299668192,-0.893005911754126,0.11665823005410952
4.0,6.59,45,DOFbest,0.568693026778843,-1.6165322126831532,0.9443479180335999,-6.769018849579764,-0.8917331618391944,0.021320062435094433
