filename,Hs,Tp,Tz,Direction,Damp_Heave,Damp_Roll,Damp_Pitch,Lin_Heave,Quad_Heave,Lin_Roll,Quad_Roll,Lin_Pitch,Quad_Pitch,std Z,std pitch,std roll,max Z,max pitch,max roll,mean Z,mean pitch,mean roll,MPM Z,MPM pitch,MPM roll
ymlfiles\Case_001_H2_T4_dir0_low.yml,2,4,3.1,0,low,low,low,1,1,100,300,150,200,0.12877663694883765,1.7264313305153787,0.00011672397558441551,-0.5100975632667542,6.252082385549695,-0.0009805632015365876,-0.9410131797299341,0.3052123943937207,-0.0020346198221710843,-0.4380057640324866,7.157575756113505,-0.0015761206040088233
ymlfiles\Case_002_H2_T4_dir45_low.yml,2,4,3.1,45,low,low,low,1,1,100,300,150,200,0.13925098849216866,0.7792130786221357,1.2037647793264556,-0.48737406730651855,3.088617092208467,4.698350953155194,-0.9404771929678541,0.3188427887472127,0.004456612882372328,-0.3976872370560772,3.406708502553405,4.760784078031648
ymlfiles\Case_003_H2_T4_dir90_low.yml,2,4,3.1,90,low,low,low,1,1,100,300,150,200,0.12369603387007543,0.7618611950242071,0.7260935908125524,-0.5530365109443665,3.148291814656633,2.8011764783947077,-0.9406545252391586,0.2975719751085835,-0.006759854234938619,-0.45971577458473983,3.291664488336313,2.8858591691397817
ymlfiles\Case_004_H2_T4_dir135_low.yml,2,4,3.1,135,low,low,low,1,1,100,300,150,200,0.13557881320462442,0.5890545019200593,0.40254745622113747,-0.45480862259864807,2.6578515754077485,1.696875975698689,-0.9383302166188756,0.30999674116156206,0.001436405944418322,-0.40945509717695605,2.657157806541134,1.6034641208510694
ymlfiles\Case_005_H2_T4_dir180_low.yml,2,4,3.1,180,low,low,low,1,1,100,300,150,200,0.1583341045990233,1.8953059871990054,0.00013404497360686014,-0.4141266942024231,7.459906998278539,-0.000921465640078447,-0.9414918853643316,0.31022310405469683,-0.0020333149314836953,-0.32268124596630743,7.8207114548894685,-0.0015089348574920088
ymlfiles\Case_006_H4_T4_dir0_low.yml,4,4,3.1,0,low,low,low,1,1,100,300,150,200,0.2034034926352163,3.2827921238256326,0.00019578160684114457,-0.26248279213905334,11.942017150518891,-0.000983060426919624,-0.9415018688503791,0.24745954741335977,-0.002008001103543421,-0.1453786061117862,13.283423337072072,-0.0012402116761138964
ymlfiles\Case_007_H4_T4_dir45_low.yml,4,4,3.1,45,low,low,low,1,1,100,300,150,200,0.22362294528933813,1.617196126301811,2.471857698010487,-0.264306902885437,6.290541473218744,9.852889387201895,-0.9457333714421149,0.3256921438785634,0.034851818038383914,-0.07256352260730226,6.7275829138157555,9.79346590825254
ymlfiles\Case_008_H4_T4_dir90_low.yml,4,4,3.1,90,low,low,low,1,1,100,300,150,200,0.18886192050971945,1.599632554759039,1.51410156939561,-0.3623460531234741,6.539724703387381,5.977790526218445,-0.9492976177442405,0.27772957242052376,0.012075445158136727,-0.21426139127363286,6.563668434603239,6.038621876683836
ymlfiles\Case_009_H4_T4_dir135_low.yml,4,4,3.1,135,low,low,low,1,1,100,300,150,200,0.218625655953097,1.25266062018175,0.9001974110690444,-0.21230444312095642,5.741801513978981,4.038232379780503,-0.942324510510735,0.34878867795738755,0.02303977507766347,-0.0878519140883095,5.331521752319601,3.5980367601406362
ymlfiles\Case_010_H4_T4_dir180_low.yml,4,4,3.1,180,low,low,low,1,1,100,300,150,200,0.2663558083280174,3.8551444962648205,0.0002641266460064708,-0.13393785059452057,15.197423620277661,-0.00039709664185862473,-0.9513163068981634,0.3794321848125811,-0.0020087414070490894,0.0918366896591234,15.643935598366111,-0.0009814338092604894
ymlfiles\Case_011_H2_T6_dir0_low.yml,2,6,4.65,0,low,low,low,1,1,100,300,150,200,0.33628313506447727,2.028970511541312,0.0002723658114997848,0.046764373779296875,7.532842319556874,-0.0009817230705440503,-0.9316371939496177,0.296233263337634,-0.0020371084252195923,0.36079522398577324,8.208824049480572,-0.0009887622332739828
ymlfiles\Case_012_H2_T6_dir45_low.yml,2,6,4.65,45,low,low,low,1,1,100,300,150,200,0.37038911583544615,1.3988515130459551,2.2843951739739325,0.27068474888801575,5.922594486875103,8.998328561648457,-0.9331370280052762,0.3119500875415137,0.014747931523054371,0.4908473044561239,5.7234937422089684,8.844693374881832
ymlfiles\Case_013_H2_T6_dir90_low.yml,2,6,4.65,90,low,low,low,1,1,100,300,150,200,0.3490576427423247,1.4811085103370885,1.553239064807447,0.16346478462219238,5.57509708690648,6.374048646671789,-0.9340735666981731,0.2859000019123396,0.0049343671923971315,0.40694466886633684,6.0119997362064534,5.997910767649666
ymlfiles\Case_014_H2_T6_dir135_low.yml,2,6,4.65,135,low,low,low,1,1,100,300,150,200,0.3637301734062734,0.8959990015200512,1.0209783700652715,0.25920620560646057,4.5856959474191195,4.362770098854128,-0.9328998057988147,0.31803052305433227,0.019496255191448264,0.4652506235437237,3.79788315862419,3.94370129259156
