filename,Hs,Tp,Tz,Direction,Damp_Heave,Damp_Roll,Damp_Pitch,Lin_Heave,Quad_Heave,Lin_Roll,Quad_Roll,Lin_Pitch,Quad_Pitch,Std Z,Std pitch,Std roll,Mean Z,Mean pitch,Mean roll,MPM Z,MPM pitch,MPM roll,Mean velocity Z,Mean velocity pitch,Mean velocity roll,std velocity Z,std velocity pitch,std velocity roll
ymlfiles\Case_001_H1_T3p5_dir0_heavelow_pitchlow_rolllow.yml,1,3.5,2.7132,0,low,low,low,1.0,1.0,100,300.0,150,200,0.014981687082813147,0.6751739497713486,0.00017280328615984573,-0.155892735286203,0.6844052422628657,-0.002331098692618786,-0.09594228118021189,3.390855982311396,-0.0016727817110813892,0.00020385814387375602,1.359448602680206e-06,1.0229666268872603e-09,0.026532392845217904,0.021246095474984447,2.457540869471358e-06
ymlfiles\Case_002_H1_T3p5_dir0_heavelinhigh_pitchlinhigh_rolllinhigh.yml,1,3.5,2.7132,0,linhigh,linhigh,linhigh,6.5,1.0,300,300.0,325,200,0.014646596142819119,0.6724264660267556,0.00015770207170699626,-0.15588164208928218,0.6841567138134065,-0.0023314415126540577,-0.09723800933912513,3.3796484843222694,-0.001729735474949551,0.00018329710711112278,1.3563885883738968e-06,9.104538244588891e-10,0.02620617348717954,0.02117234403399023,2.263095650458245e-06
ymlfiles\Case_003_H1_T3p5_dir0_heavequadhigh_pitchquadhigh_rollquadhigh.yml,1,3.5,2.7132,0,quadhigh,quadhigh,quadhigh,1.0,4.0,100,1300.0,150,1300,0.01498386061312906,0.6746387009884244,0.00017255951381841257,-0.15589222600857586,0.684348128411321,-0.002331115499623261,-0.0959305780713697,3.388489509452111,-0.001674048070965131,0.00019954156665857474,1.3558880683786592e-06,1.090954271052792e-09,0.026533348007104527,0.02123088203394858,2.453256404107479e-06
ymlfiles\Case_004_H1_T3p5_dir0_heaveDOFbest_pitchDOFbest_rollDOFbest.yml,1,3.5,2.7132,0,DOFbest,DOFbest,DOFbest,3.3,2.4,233,304.5,248,640,0.0148466552272944,0.6734342524973244,0.00016227599088321858,-0.15588882706518675,0.6842425622189569,-0.002331322409093535,-0.09646266809127113,3.3836652003385668,-0.0017121901866195082,0.00019063041136677851,1.3562332253609599e-06,9.518391996397207e-10,0.026401065582881654,0.02119926602567965,2.3219319336520848e-06
ymlfiles\Case_005_H1_T3p5_dir45_heavelow_pitchlow_rolllow.yml,1,3.5,2.7132,45,low,low,low,1.0,1.0,100,300.0,150,200,0.011490111296902852,0.31080482013745603,0.3516833853375659,-0.15553329186044057,0.6756665276566285,0.00433023369993243,-0.10982688959530158,1.9205722762529565,1.4112318894466005,0.00016480334103998148,4.88557714518618e-05,4.2450851021094634e-05,0.018765383161745086,0.009632450630290643,0.010678090968452127
ymlfiles\Case_006_H1_T3p5_dir45_heavelinhigh_pitchlinhigh_rolllinhigh.yml,1,3.5,2.7132,45,linhigh,linhigh,linhigh,6.5,1.0,300,300.0,325,200,0.01116117265477672,0.30920690181907007,0.3500500213918655,-0.15552471508845866,0.6756237150805399,0.00435577258023343,-0.11110023969720817,1.9142051362756392,1.4049280654138727,0.00015322947497409275,4.8773744920453876e-05,4.247218561990323e-05,0.0184336495467147,0.00959906160131244,0.01064249937738801
ymlfiles\Case_007_H1_T3p5_dir45_heavequadhigh_pitchquadhigh_rollquadhigh.yml,1,3.5,2.7132,45,quadhigh,quadhigh,quadhigh,1.0,4.0,100,1300.0,150,1300,0.01148630058761582,0.3106464493305976,0.35153982233330505,-0.15553271366525334,0.6756716120078046,0.004327966147672695,-0.10984252867079569,1.9199684836773856,1.410655301250206,0.0001637504203778634,4.884902975014169e-05,4.24533125488316e-05,0.018762274166847406,0.009629270082756979,0.01067498057207492
ymlfiles\Case_008_H1_T3p5_dir45_heaveDOFbest_pitchDOFbest_rollDOFbest.yml,1,3.5,2.7132,45,DOFbest,DOFbest,DOFbest,3.3,2.4,233,304.5,248,640,0.011350117595885115,0.3098288902333379,0.3505848363983051,-0.15552845068768623,0.6756475068333468,0.00435623167061705,-0.11036536523218507,1.9166950286743223,1.406980478550388,0.000157374756343364,4.880524651217811e-05,4.246485921009032e-05,0.018626718660570474,0.009612478189157118,0.010654449851653498
ymlfiles\Case_009_H1_T3p5_dir90_heavelow_pitchlow_rolllow.yml,1,3.5,2.7132,90,low,low,low,1.0,1.0,100,300.0,150,200,0.007981868601365868,0.11549646437090959,0.21823093648606307,-0.15510211794838874,0.675478397764577,-0.00014285684075587523,-0.12332717121660426,1.1322620814540134,0.8807783165423116,7.620040253573567e-06,-6.102354842070582e-07,-1.5217778098013572e-05,0.013313711890947148,0.002928201203302298,0.007769899804016138
ymlfiles\Case_010_H1_T3p5_dir90_heavelinhigh_pitchlinhigh_rolllinhigh.yml,1,3.5,2.7132,90,linhigh,linhigh,linhigh,6.5,1.0,300,300.0,325,200,0.007661345564149589,0.11255653484455458,0.2171142650666436,-0.1550989639849352,0.6754794133162036,-0.00011900488659012898,-0.12455321468877982,1.1210771745034773,0.8764656135096026,4.568608409256995e-06,-1.0380260285032943e-06,-1.5014813225621848e-05,0.013022182126304861,0.0028961091625382025,0.007748494744884686
