filename,Hs,Tp,Tz,Direction,Damp_Heave,Damp_Roll,Damp_Pitch,Lin_Heave,Quad_Heave,Lin_Roll,Quad_Roll,Lin_Pitch,Quad_Pitch,Std Z,Std pitch,Std roll,Mean Z,Mean pitch,Mean roll,MPM Z,MPM pitch,MPM roll
ymlfiles\Case_001_H1_T3p5_dir0_heavelow_pitchlow_rolllow.yml,1,3.5,2.7132,0,low,low,low,1.0,1.0,100,300.0,150,200,0.014981687082813147,0.6751739497713486,0.00017280328615984573,-0.155892735286203,0.6844052422628657,-0.002331098692618786,-0.09594228118021189,3.390855982311396,-0.0016727817110813892
ymlfiles\Case_002_H1_T3p5_dir0_heavelinhigh_pitchlinhigh_rolllinhigh.yml,1,3.5,2.7132,0,linhigh,linhigh,linhigh,6.5,1.0,300,300.0,325,200,0.014646596142819119,0.6724264660267556,0.00015770207170699626,-0.15588164208928218,0.6841567138134065,-0.0023314415126540577,-0.09723800933912513,3.3796484843222694,-0.001729735474949551
ymlfiles\Case_003_H1_T3p5_dir0_heavequadhigh_pitchquadhigh_rollquadhigh.yml,1,3.5,2.7132,0,quadhigh,quadhigh,quadhigh,1.0,4.0,100,1300.0,150,1300,0.01498386061312906,0.6746387009884244,0.00017255951381841257,-0.15589222600857586,0.684348128411321,-0.002331115499623261,-0.0959305780713697,3.388489509452111,-0.001674048070965131
ymlfiles\Case_004_H1_T3p5_dir0_heaveDOFbest_pitchDOFbest_rollDOFbest.yml,1,3.5,2.7132,0,DOFbest,DOFbest,DOFbest,3.3,2.4,233,304.5,248,640,0.0148466552272944,0.6734342524973244,0.00016227599088321858,-0.15588882706518675,0.6842425622189569,-0.002331322409093535,-0.09646266809127113,3.3836652003385668,-0.0017121901866195082
ymlfiles\Case_005_H1_T3p5_dir45_heavelow_pitchlow_rolllow.yml,1,3.5,2.7132,45,low,low,low,1.0,1.0,100,300.0,150,200,0.011490111296902852,0.31080482013745603,0.3516833853375659,-0.15553329186044057,0.6756665276566285,0.00433023369993243,-0.10982688959530158,1.9205722762529565,1.4112318894466005
ymlfiles\Case_006_H1_T3p5_dir45_heavelinhigh_pitchlinhigh_rolllinhigh.yml,1,3.5,2.7132,45,linhigh,linhigh,linhigh,6.5,1.0,300,300.0,325,200,0.01116117265477672,0.30920690181907007,0.3500500213918655,-0.15552471508845866,0.6756237150805399,0.00435577258023343,-0.11110023969720817,1.9142051362756392,1.4049280654138727
ymlfiles\Case_007_H1_T3p5_dir45_heavequadhigh_pitchquadhigh_rollquadhigh.yml,1,3.5,2.7132,45,quadhigh,quadhigh,quadhigh,1.0,4.0,100,1300.0,150,1300,0.01148630058761582,0.3106464493305976,0.35153982233330505,-0.15553271366525334,0.6756716120078046,0.004327966147672695,-0.10984252867079569,1.9199684836773856,1.410655301250206
ymlfiles\Case_008_H1_T3p5_dir45_heaveDOFbest_pitchDOFbest_rollDOFbest.yml,1,3.5,2.7132,45,DOFbest,DOFbest,DOFbest,3.3,2.4,233,304.5,248,640,0.011350117595885115,0.3098288902333379,0.3505848363983051,-0.15552845068768623,0.6756475068333468,0.00435623167061705,-0.11036536523218507,1.9166950286743223,1.406980478550388
ymlfiles\Case_009_H1_T3p5_dir90_heavelow_pitchlow_rolllow.yml,1,3.5,2.7132,90,low,low,low,1.0,1.0,100,300.0,150,200,0.007981868601365868,0.11549646437090959,0.21823093648606307,-0.15510211794838874,0.675478397764577,-0.00014285684075587523,-0.12332717121660426,1.1322620814540134,0.8807783165423116
ymlfiles\Case_010_H1_T3p5_dir90_heavelinhigh_pitchlinhigh_rolllinhigh.yml,1,3.5,2.7132,90,linhigh,linhigh,linhigh,6.5,1.0,300,300.0,325,200,0.007661345564149589,0.11255653484455458,0.2171142650666436,-0.1550989639849352,0.6754794133162036,-0.00011900488659012898,-0.12455321468877982,1.1210771745034773,0.8764656135096026
ymlfiles\Case_011_H1_T3p5_dir90_heavequadhigh_pitchquadhigh_rollquadhigh.yml,1,3.5,2.7132,90,quadhigh,quadhigh,quadhigh,1.0,4.0,100,1300.0,150,1300,0.007977414368671982,0.11539087364515324,0.2181590419535677,-0.15510175654080016,0.6754792402760922,-0.000146970904690298,-0.1233430900607065,1.1318570272311623,0.8804996387493004
ymlfiles\Case_012_H1_T3p5_dir90_heaveDOFbest_pitchDOFbest_rollDOFbest.yml,1,3.5,2.7132,90,DOFbest,DOFbest,DOFbest,3.3,2.4,233,304.5,248,640,0.007836070388380387,0.11371326580798118,0.21746836388025756,-0.15509991768215484,0.675478531651644,-0.00012866610094596826,-0.1238805826412975,1.1254739187742944,0.8778544947857962
ymlfiles\Case_013_H1_T3p5_dir135_heavelow_pitchlow_rolllow.yml,1,3.5,2.7132,135,low,low,low,1.0,1.0,100,300.0,150,200,0.012875342528893781,0.26605786190397895,0.11976655319119829,-0.1542652127496671,0.684133259446819,0.0029137485928035795,-0.10290698061738573,1.7512957163132434,0.485611283738401
ymlfiles\Case_014_H1_T3p5_dir135_heavelinhigh_pitchlinhigh_rolllinhigh.yml,1,3.5,2.7132,135,linhigh,linhigh,linhigh,6.5,1.0,300,300.0,325,200,0.012585678394246801,0.2650397593367321,0.11878309710368795,-0.15426546406799774,0.6841388688804991,0.0030202313668597548,-0.10404726780719686,1.747344887339155,0.4819982127809423
ymlfiles\Case_015_H1_T3p5_dir135_heavequadhigh_pitchquadhigh_rollquadhigh.yml,1,3.5,2.7132,135,quadhigh,quadhigh,quadhigh,1.0,4.0,100,1300.0,150,1300,0.012868818715567235,0.265969011936174,0.11973091980277216,-0.15426567863881377,0.6841300585828209,0.0029175076512233137,-0.1029334692331869,1.7509574271736001,0.4854802532186455
ymlfiles\Case_016_H1_T3p5_dir135_heaveDOFbest_pitchDOFbest_rollDOFbest.yml,1,3.5,2.7132,135,DOFbest,DOFbest,DOFbest,3.3,2.4,233,304.5,248,640,0.0127476536036063,0.26543858558486116,0.11908466900199402,-0.15426500709979032,0.6841380553872858,0.002973391422349578,-0.10340609523657943,1.7488803068698766,0.48306281202359075
ymlfiles\Case_017_H1_T3p5_dir180_heavelow_pitchlow_rolllow.yml,1,3.5,2.7132,180,low,low,low,1.0,1.0,100,300.0,150,200,0.018398094416996247,0.6778687515474249,0.00016965969846701142,-0.15607925506336234,0.6853029329544866,-0.002341506667303089,-0.08266431452633768,3.4023378370706228,-0.0016964655984946478
ymlfiles\Case_018_H1_T3p5_dir180_heavelinhigh_pitchlinhigh_rolllinhigh.yml,1,3.5,2.7132,180,linhigh,linhigh,linhigh,6.5,1.0,300,300.0,325,200,0.017907431805640348,0.6753153300337342,0.00015879198040955313,-0.1560662147931524,0.6853981337252079,-0.0023407445660743034,-0.0845920034651273,3.3924717736129835,-0.0017358598612625996
ymlfiles\Case_019_H1_T3p5_dir180_heavequadhigh_pitchquadhigh_rollquadhigh.yml,1,3.5,2.7132,180,quadhigh,quadhigh,quadhigh,1.0,4.0,100,1300.0,150,1300,0.018383515649833992,0.67733067321881,0.0001698781896702264,-0.15607944892346556,0.685264361319343,-0.0023413972200754807,-0.08272589896998991,3.400142538787942,-0.0016954280806424091
ymlfiles\Case_020_H1_T3p5_dir180_heaveDOFbest_pitchDOFbest_rollDOFbest.yml,1,3.5,2.7132,180,DOFbest,DOFbest,DOFbest,3.3,2.4,233,304.5,248,640,0.018181025624491434,0.6762070044759539,0.0001623530105480978,-0.1560741484129871,0.6853268574392337,-0.002341345483861385,-0.08351427568918829,3.3958654357862024,-0.0017239649400643067
ymlfiles\Case_021_H1_T4_dir0_heavelow_pitchlow_rolllow.yml,1,4.0,3.1008,0,low,low,low,1.0,1.0,100,300.0,150,200,0.029884900844748697,0.7490952068613904,0.00011114690432868455,-0.15603434602848443,0.6866183235691289,-0.0023370546020341524,-0.03842951648068828,3.6733591812814894,-0.0019124183957299026
ymlfiles\Case_022_H1_T4_dir0_heavelinhigh_pitchlinhigh_rolllinhigh.yml,1,4.0,3.1008,0,linhigh,linhigh,linhigh,6.5,1.0,300,300.0,325,200,0.027884896941793042,0.7455126093353944,0.00010294830380528778,-0.1560242173784903,0.6864488174936054,-0.002336828948446541,-0.046141099170810884,3.658905388896801,-0.0019427262080810126
