,mean,std,min,max,skewness,kurtosis,normaltest_stat,p_value,normaal_bij_alpha=0.05,best_dist,AIC_best,AIC_norm,delta_AIC_(norm-best)
Hs1_Tp4_low_v_Z,0.0002510810049547221,0.045811726899168764,-0.2409743447461677,0.1797912873160182,-0.15453111723118157,-0.03176207482261795,214.76123110783178,2.31841512580093e-47,False,skewnorm,-179942.4620055937,-179742.20585513557,200.25615045812447
Hs1_Tp4_low_v_pitch,-4.3230185212202687e-07,0.021927760538880757,-0.101226732134819,0.0951191857457161,-0.0028800590783234713,0.0975422771783565,19.700297161905617,5.2739356369520195e-05,False,t,-259332.7609680487,-259316.63931047256,16.121657576150028
Hs1_Tp4_low_v_roll,6.734945138192038e-10,1.727358877341713e-06,-7.918550181784667e-06,7.602817731822142e-06,-0.14452251362011467,0.49219236391184884,542.824526228365,1.3401450563544555e-118,False,gennorm,-1280190.363353071,-1279818.3718403412,371.99151272978634
Hs1_Tp4_linhigh_v_Z,0.00022668841586297276,0.04315408984738449,-0.2378098865278119,0.1735903873357551,-0.17825547886460497,0.022425943906401624,282.76962040071936,3.956918497987467e-62,False,skewnorm,-186467.59131436585,-186196.71955801072,270.8717563551327
Hs1_Tp4_linhigh_v_pitch,-4.0057050244777366e-07,0.021844161898028125,-0.1009607166051864,0.0951062887907028,-0.002310701925054582,0.09627459639261948,19.191378246869427,6.802133694287252e-05,False,t,-259744.841357956,-259729.17917093931,15.662187016685493
Hs1_Tp4_linhigh_v_roll,8.443332210620587e-10,1.5945258372016506e-06,-8.010649253265001e-06,6.733311693096766e-06,-0.1933768830304979,0.3958458341012965,579.2193007116764,1.675432534362258e-126,False,skewnorm,-1288806.9605468782,-1288460.3862553313,346.57429154682904
Hs1_Tp4_quadhigh_v_Z,0.0002457807960519362,0.045694966740571046,-0.2404062538959706,0.1795084933737159,-0.15449163397564525,-0.03517706538679999,215.19002770870765,1.8710233297835946e-47,False,skewnorm,-180217.82235533738,-180017.8214847899,200.0008705474902
Hs1_Tp4_quadhigh_v_pitch,-4.2809339913540384e-07,0.021908698043118954,-0.1010210737586021,0.0950687676668167,-0.002618828615125203,0.09216357435397926,17.678473968409385,0.0001449332908940531,False,t,-259424.8067688983,-259410.56969917842,14.237069719878491
Hs1_Tp4_quadhigh_v_roll,7.249226902888555e-10,1.7226089379474927e-06,-8.037681254791096e-06,7.408260444208281e-06,-0.15051837195166926,0.5032847590251088,571.5567664165943,7.72725288572217e-125,False,gennorm,-1280497.451973932,-1280115.7678197068,381.6841542252805
Hs1_Tp4_DOFbest_v_Z,0.00023533939580292393,0.04458619822881683,-0.2395839464997979,0.1772861601646726,-0.16409356084517848,-0.009839866842932032,239.42373258624121,1.0228149106250268e-52,False,skewnorm,-182898.3681075734,-182670.76106481606,227.6070427573286
Hs1_Tp4_DOFbest_v_pitch,-4.118793510721636e-07,0.021873080191473604,-0.1009855419397354,0.0950997769832611,-0.002378942945401273,0.09460629271654586,18.56781725329475,9.290727300736308e-05,False,t,-259601.37366210725,-259586.29577596893,15.07788613831508
Hs1_Tp4_DOFbest_v_roll,8.844769992627284e-10,1.6394161852664328e-06,-8.094511940726079e-06,7.3791925387922674e-06,-0.1675478118297772,0.49519004440971104,609.5148979872646,4.421010874487205e-133,False,gennorm,-1285801.2459443389,-1285461.842209547,339.40373479179107
