sea_key,response,Hs_m,Tp_s,direction_deg,wave_type,case,heave_option,pitch_option,roll_option,status,mean,std,rms,max_abs,ptp,amplitude,minimum,maximum
Hs1_Tp2_Dirmodel,heave,1.0,2.0,,Dean stream,case_10,linhigh,low,low,ok,-0.36558330635750635,0.002333286794186746,0.36559075222788423,0.3728495240211487,0.01461118459701538,0.00730559229850769,-0.3728495240211487,-0.3582383394241333
Hs1_Tp2_Dirmodel,pitch,1.0,2.0,,Dean stream,case_13,linhigh,linhigh,low,ok,-0.01093210760977153,0.3091782056643906,0.30937141728777057,0.45171130574676693,0.8878283824838956,0.4439141912419478,-0.45171130574676693,0.4361170767371287
Hs1_Tp2_Dirmodel,roll,1.0,2.0,,Dean stream,case_05,low,linhigh,linhigh,ok,-0.0019433649503304304,4.773440936933908e-05,0.0019439511063837577,0.0020899795225910525,0.0003108953366812372,0.0001554476683406186,-0.0020899795225910525,-0.0017790841859098153
Hs1_Tp4_Dirmodel,heave,1.0,4.0,,Dean stream,case_18,linhigh,quadhigh,quadhigh,ok,-0.372641818465365,0.06864289926017399,0.37891129897116615,0.47140762209892273,0.19854527711868286,0.09927263855934143,-0.47140762209892273,-0.27286234498023987
Hs1_Tp4_Dirmodel,pitch,1.0,4.0,,Dean stream,case_23,quadhigh,linhigh,linhigh,ok,-0.007131758715038874,1.3279930763824819,1.32801222618701,2.0150024950191994,3.9607137881256773,1.9803568940628387,-2.0150024950191994,1.945711293106478
Hs1_Tp4_Dirmodel,roll,1.0,4.0,,Dean stream,case_08,low,quadhigh,linhigh,ok,-0.0019258932956602807,7.776600257341564e-05,0.0019274627201130155,0.002159793027201975,0.00038814142446550923,0.00019407071223275462,-0.002159793027201975,-0.001771651602736466
Hs2_Tp4_Dirmodel,heave,2.0,4.0,,Dean stream,case_14,linhigh,linhigh,linhigh,ok,-0.38008599543244054,0.13007181873264567,0.401726327183429,0.5611222982406616,0.3732762783765793,0.18663813918828964,-0.5611222982406616,-0.18784601986408234
Hs2_Tp4_Dirmodel,pitch,2.0,4.0,,Dean stream,case_05,low,linhigh,linhigh,ok,-0.049580996355937,2.62654980488747,2.6270177298134203,3.8536174891569352,7.703312315296168,3.851656157648084,-3.8536174891569352,3.8496948261392325
Hs2_Tp4_Dirmodel,roll,2.0,4.0,,Dean stream,case_05,low,linhigh,linhigh,ok,-0.0019167416853351443,7.85214232280845e-05,0.0019183493691731894,0.002070327304105727,0.0003298477150744505,0.00016492385753722524,-0.002070327304105727,-0.0017404795890312765
Hs2_Tp8_Dirmodel,heave,2.0,8.0,,Dean stream,case_13,linhigh,linhigh,low,ok,-0.3604177774503343,0.6718688292381245,0.7624360287945782,1.297813057899475,1.8954881429672241,0.9477440714836121,-1.297813057899475,0.597675085067749
Hs2_Tp8_Dirmodel,pitch,2.0,8.0,,Dean stream,case_05,low,linhigh,linhigh,ok,-0.09576790182365992,3.414364468877073,3.4157072792248937,4.9588394270606715,9.756106887323284,4.878053443661642,-4.9588394270606715,4.797267460262612
Hs2_Tp8_Dirmodel,roll,2.0,8.0,,Dean stream,case_22,quadhigh,linhigh,low,ok,-0.002093292125152291,0.0016286147819551207,0.0026522175682298994,0.005860367341410401,0.009499131445178187,0.0047495657225890935,-0.005860367341410401,0.0036387641037677857
Hs4_Tp8_Dirmodel,heave,4.0,8.0,,Dean stream,case_25,quadhigh,quadhigh,low,ok,-0.3850704254833958,1.1650831675311393,1.227068873310034,2.358731985092163,3.4853172302246094,1.7426586151123047,-2.358731985092163,1.1265852451324463
Hs4_Tp8_Dirmodel,pitch,4.0,8.0,,Dean stream,case_16,linhigh,quadhigh,low,ok,-0.6321093471508605,8.909862297104018,8.932256623055073,12.957955709365867,25.258352031861683,12.629176015930842,-12.957955709365867,12.300396322495814
Hs4_Tp8_Dirmodel,roll,4.0,8.0,,Dean stream,case_02,low,low,linhigh,ok,-0.001757257657835776,0.011144436092714571,0.011282127915452017,0.03003713758719962,0.05600091277049962,0.02800045638524981,-0.0259637751833,0.03003713758719962
Hs5_Tp8_Dirmodel,heave,5.0,8.0,,Dean stream,case_26,quadhigh,quadhigh,linhigh,ok,-0.4134213990242931,1.4338739550040676,1.4922840788570422,2.9443836212158203,4.262480020523071,2.1312400102615356,-2.9443836212158203,1.318096399307251
Hs5_Tp8_Dirmodel,pitch,5.0,8.0,,Dean stream,case_17,linhigh,quadhigh,linhigh,ok,-0.9568100906858281,11.114213410638847,11.15532273342473,16.1492873207471,31.525620916144074,15.762810458072037,-16.1492873207471,15.376333595396975
Hs5_Tp8_Dirmodel,roll,5.0,8.0,,Dean stream,case_13,linhigh,linhigh,low,ok,-0.001774129150353955,0.006860812797856988,0.007086486187764277,0.02036858626785671,0.033385806247990306,0.016692903123995153,-0.02036858626785671,0.013017219980133598
Hs6_Tp10_Dirmodel,heave,6.0,10.0,,Dean stream,case_20,quadhigh,low,linhigh,ok,-0.49378965982002265,1.7879849552163902,1.854917364257861,3.4346201419830322,4.996629118919373,2.4983145594596863,-3.4346201419830322,1.5620089769363403
Hs6_Tp10_Dirmodel,pitch,6.0,10.0,,Dean stream,case_06,low,linhigh,quadhigh,ok,-0.7646141199244529,5.619760470222036,5.671537930319962,8.853762485223259,17.551220360159007,8.775610180079504,-8.697457874935749,8.853762485223259
Hs6_Tp10_Dirmodel,roll,6.0,10.0,,Dean stream,case_14,linhigh,linhigh,linhigh,ok,-0.0017202424189851704,0.008304814657315744,0.008481107266886934,0.03327652155374345,0.049976097285639925,0.024988048642819963,-0.03327652155374345,0.016699575731896475
