case,heave_option,heave_lin,heave_quad,pitch_option,pitch_lin,pitch_quad,roll_option,roll_lin,roll_quad
case_01,low,1.5,1.5,low,150,200.0,low,100.0,300.0
case_02,low,1.5,1.5,low,150,200.0,linhigh,320.0,50.0
case_03,low,1.5,1.5,low,150,200.0,quadhigh,170.0,1300.0
case_04,low,1.5,1.5,linhigh,325,0.0,low,100.0,300.0
case_05,low,1.5,1.5,linhigh,325,0.0,linhigh,320.0,50.0
case_06,low,1.5,1.5,linhigh,325,0.0,quadhigh,170.0,1300.0
case_07,low,1.5,1.5,quadhigh,150,1300.0,low,100.0,300.0
case_08,low,1.5,1.5,quadhigh,150,1300.0,linhigh,320.0,50.0
case_09,low,1.5,1.5,quadhigh,150,1300.0,quadhigh,170.0,1300.0
case_10,linhigh,6.5,1.0,low,150,200.0,low,100.0,300.0
case_11,linhigh,6.5,1.0,low,150,200.0,linhigh,320.0,50.0
case_12,linhigh,6.5,1.0,low,150,200.0,quadhigh,170.0,1300.0
case_13,linhigh,6.5,1.0,linhigh,325,0.0,low,100.0,300.0
case_14,linhigh,6.5,1.0,linhigh,325,0.0,linhigh,320.0,50.0
case_15,linhigh,6.5,1.0,linhigh,325,0.0,quadhigh,170.0,1300.0
case_16,linhigh,6.5,1.0,quadhigh,150,1300.0,low,100.0,300.0
case_17,linhigh,6.5,1.0,quadhigh,150,1300.0,linhigh,320.0,50.0
case_18,linhigh,6.5,1.0,quadhigh,150,1300.0,quadhigh,170.0,1300.0
case_19,quadhigh,3.0,4.0,low,150,200.0,low,100.0,300.0
case_20,quadhigh,3.0,4.0,low,150,200.0,linhigh,320.0,50.0
case_21,quadhigh,3.0,4.0,low,150,200.0,quadhigh,170.0,1300.0
case_22,quadhigh,3.0,4.0,linhigh,325,0.0,low,100.0,300.0
case_23,quadhigh,3.0,4.0,linhigh,325,0.0,linhigh,320.0,50.0
case_24,quadhigh,3.0,4.0,linhigh,325,0.0,quadhigh,170.0,1300.0
case_25,quadhigh,3.0,4.0,quadhigh,150,1300.0,low,100.0,300.0
case_26,quadhigh,3.0,4.0,quadhigh,150,1300.0,linhigh,320.0,50.0
case_27,quadhigh,3.0,4.0,quadhigh,150,1300.0,quadhigh,170.0,1300.0
